Mes,Año,Consumo
Enero,2005,2599
Febrero,2005,2530
Marzo,2005,2389
Abril,2005,2473
Mayo,2005,2594
Junio,2005,2743
Julio,2005,2960
Agosto,2005,2986
Septiembre,2005,2996
Octubre,2005,2989
Noviembre,2005,2788
Diciembre,2005,2609
Enero,2006,2595
Febrero,2006,2523
Marzo,2006,2430
Abril,2006,2507
Mayo,2006,2760
Junio,2006,2873
Julio,2006,2966
Agosto,2006,3013
Septiembre,2006,3059
Octubre,2006,3033
Noviembre,2006,2882
Diciembre,2006,2774
Enero,2007,2760
Febrero,2007,2732
Marzo,2007,2556
Abril,2007,2563
Mayo,2007,2779
Junio,2007,2911
Julio,2007,3054
Agosto,2007,3201
Septiembre,2007,3198
Octubre,2007,3119
Noviembre,2007,2959
Diciembre,2007,2797
Enero,2008,2837
Febrero,2008,2852
Marzo,2008,2661
Abril,2008,2697
Mayo,2008,2952
Junio,2008,3121
Julio,2008,3205
Agosto,2008,3276
Septiembre,2008,3332
Octubre,2008,3183
Noviembre,2008,3012
Diciembre,2008,2813
Enero,2009,2861
Febrero,2009,2833
Marzo,2009,2686
Abril,2009,2798
Mayo,2009,3123
Junio,2009,3232
Julio,2009,3377
Agosto,2009,3545
Septiembre,2009,3558
Octubre,2009,3275
Noviembre,2009,3079
Diciembre,2009,2792
Enero,2010,2825
Febrero,2010,2769
Marzo,2010,2655
Abril,2010,2735
Mayo,2010,2996
Junio,2010,3282
Julio,2010,3594
Agosto,2010,3544
Septiembre,2010,3633
Octubre,2010,3422
Noviembre,2010,3220
Diciembre,2010,2859
Enero,2011,2998
Febrero,2011,3062
Marzo,2011,2907
Abril,2011,3012
Mayo,2011,3349
Junio,2011,3537
Julio,2011,3688
Agosto,2011,3632
Septiembre,2011,3792
Octubre,2011,3608
Noviembre,2011,3274
Diciembre,2011,3049
Enero,2012,3049
Febrero,2012,2999
Marzo,2012,2990
Abril,2012,2983
Mayo,2012,3068
Junio,2012,3279
Julio,2012,3440
Agosto,2012,3636
Septiembre,2012,3670
Octubre,2012,3835
Noviembre,2012,3605
Diciembre,2012,3436
